study_id,first_author,year,journal,design,population,setting,country,n_usg,n_landmark,n_total,age_group,diva_only,catheter_type_confounding,outcome_dwell_time_usg,outcome_dwell_time_lm,outcome_dwell_time_measure,outcome_dwell_time_p,outcome_failure_usg,outcome_failure_lm,outcome_failure_measure,outcome_failure_effect,outcome_failure_95ci,outcome_failure_p,outcome_infiltration_usg,outcome_infiltration_lm,outcome_infiltration_p,outcome_extravasation_usg,outcome_extravasation_lm,outcome_extravasation_p,outcome_phlebitis_usg,outcome_phlebitis_lm,outcome_phlebitis_p,outcome_dislodgement_usg,outcome_dislodgement_lm,outcome_dislodgement_p,outcome_occlusion_usg,outcome_occlusion_lm,outcome_occlusion_p,outcome_infection_usg,outcome_infection_lm,outcome_infection_p,outcome_patency_2hr_usg,outcome_patency_2hr_lm,outcome_patency_2hr_p,notes,rob_tool,fulltext_available
1,Kleidon TM,2025,JAMA Pediatrics,RCT,Paediatric 0-18y,Quaternary children's hospital,Australia,84,80,164,Paediatric,No (all risk strata),No (same catheter types),"47.1h median (IQR 24.2-77.0)","47.7h median (IQR 22.3-74.1)",Median (IQR),NS,"20 (23.8%): postinsertion failure","20 (25.0%): postinsertion failure","RD -2.4% (95% CI -14.9 to 10.2)","IRR 0.85 (0.45-1.61)",-,NS,,,,,18/53 (34%),9/51 (18%),0.094,,,,,,,,,0/84 (0%),2/80 (2.5%),NS,,,,"Dwell time MedD -3.9h (95%CI -23.7 to 15.9). PIVC failure includes infiltration/occlusion/dislodgement. Total device time median 2.0 vs 2.0 days. Primary outcome was first-attempt insertion success (not post-insertion).",RoB 2,Yes
2,Bridey C,2018,BMJ Open,RCT,Adult ICU (DIVA),Tertiary ICU,France,57,57,114,Adult,Yes,No (same 1.16in catheters),"3 days median (IQR 1-3)","3 days median (IQR 2-3)",Median (IQR),0.719,,,,,,,"0/53 (0%)","0/51 (0%)",---,"18/53 (34%)","9/51 (18%)",0.094,,,,,,,,"0/53 (0%)","0/51 (0%)",---,,,,"6/51 (12%) colonisation in both groups, p=1.000",,"PIVC lifespan = time from insertion to removal (max 3 days protocol). Extravasation trended higher in USG group. Catheters tended larger in USG (18G vs 21G). Null result for primary outcome (number of attempts).",RoB 2,Yes
3,Feinsmith SE,2021,J Vascular Access,Retrospective cohort,Adult (DIVA for USGPIV),Tertiary academic medical center,USA,7972,35498,43470,Adult,Yes (USGPIV),No (short PIVCs in both),"KM survival probabilities reported at multiple timepoints","KM survival probabilities reported at multiple timepoints","KM survival probability at 24/48/72/96/120h",<0.001,"5480/7972 (68.7%) IFR documented; failures by IFR","27271/39498 (69.0%) IFR documented","HR 0.91 (95% CI 0.87-0.95) adjusted Cox","HR 0.91 (0.87-0.95)","0.87-0.95",<0.001,,,,,,,,,,,,,,,,,"KM at 24h: USG 0.82 vs PIV 0.86; at 48h: 0.70 vs 0.70; at 72h: 0.61 vs 0.57; at 96h: 0.52 vs 0.46; at 120h: 0.47 vs 0.38. USG slightly worse at 24h but better long-term. All-cause removal similar. Adjusted HR favors USGPIV.",NOS,Yes
4,Dachepally R,2023,Pediatric Anesthesia,Retrospective cohort,Paediatric ICU (DIVA) 0-18y,Tertiary paediatric ICU,USA,99,88,187,Paediatric,Yes,YES (USG=long 4.4cm vs LM=short 1.9-3.2cm),"219h median (95%CI 142-312)","108h median (95%CI 72-149)",Median (95%CI),<0.001,"HR 2.20 (1.45-3.34) traditional vs USG (unadjusted); age-adjusted HR 1.99 (1.28-3.08)","Unadjusted HR 2.20 favors USG","HR 2.20 (1.45-3.34) unadjusted; HR 1.99 (1.28-3.08) adjusted","HR 1.99 (1.28-3.08)","1.28-3.08",0.002,"14 (14.3%)","15 (17.9%)",NR,,,,"0/99","0/88",NR,,,"Unplanned removal: USG 7 (7.1%) vs trad 17 (20.2%)",,"5 (5.1%)","5 (6.0%)",NR,"0/99","0/88",NR,,,,"MAJOR CONFOUNDING: USG group exclusively used longer catheters (4.4cm). Also USG patients significantly older. Additional PIV access needed: OR 0.39 (0.18-0.85) p=0.017 favoring USG. 3-day IV survival 59.5% vs 83.0%.",NOS,Yes
5,Shokoohi H,2019,Annals of Emergency Medicine,Prospective cohort (nested in RCT),Adult ED (all access difficulty),Tertiary academic ED,USA,182,148,330,Adult,No (all difficulty levels),No,"72-hr survivorship: 73% USG vs 79% LM","72-hr survivorship: 73% USG vs 79% LM","72-hr catheter survivorship (%)",0.44 (log-rank),"50/182 (27%) premature removal","31/148 (21%) premature removal","RR 1.26 (95% CI 0.88-1.80)","RR 1.26 (0.88-1.80)","0.88-1.80",NS,"24 (30%) of 81 premature removals","5 (2%)","Table 3","","","","","","","","","14 (17%) fell out and replaced","","",,,,"0/182","0/148",NA,,,,"Null result. USG catheters more likely to be long needle (1 7/8in). USG more often placed above elbow. Premature removal mainly due to pain/discomfort or catheter dysfunction. No significant KM survival difference.",NOS,Yes
6,Favot M,2019,J Emergency Nursing,Retrospective cohort,Adult ED (contrast CT patients),Tertiary ED,USA,291,29217,29508,Adult,No,No,"","","","","","","","","","","","","","12/291 (4.1%)","62/29217 (0.21%)","RR 19.4 (10.6-35.6); ARD 3.9% (1.6-6.2%)","","","","","","","","","","","",,"Only outcome: contrast extravasation. USG catheter CE rate 4.1% vs standard 0.21%. Result unfavorable to USG. Small number of CE events (n=74 total). No dwell time data.",NOS,Yes
7,Varghese S,2025,Int J Med Pub Health,RCT,Paediatric 1mo-17y,Tertiary paediatric ED,India,45,45,90,Paediatric,Mixed (33% DIVA),No (same catheter sizes),"","","","","","","","","","","1 (2.22%)","5 (11.11%)",0.09,"","","","","","","","","","","","","","","44/45 (97.78%)","38/45 (84.44%)",0.03,"Catheter patency at 2 hours is only post-insertion outcome. Complications: hematoma USG 2(4.44%) vs LM 6(13.33%) p=0.14; arterial puncture USG 0 vs LM 1(2.22%); nerve irritation: 0 both groups. Short follow-up (2 hours only).",RoB 2,Yes
8,Leroux S,2023,J Emergency Medicine,RCT,Adult ED,Tertiary ED,USA,106,116,222,Adult,No,No,"23.5h mean (SD 33.8)","24.7h mean (SD 38.8)","Mean (SD) utility time (hours)",0.808,"12/106 (11.3%)","11/116 (9.5%)","Postinsertion failure rate","Chi-square","",0.654,"9 (39.1%) of 23 failures","3 (27.3%) of 11 failures",NR,"","","","","","","","","","3/23 (13%) occluded of failures","2/11 (18.2%) of failures",NR,"","","","","","9.4% (6/64)","12% (9/75)",0.414,"Null result across all post-insertion outcomes. Underpowered (target 582, enrolled 223 due to COVID). CVR cutoff ~0.21 (AUC 0.621) not predictive. Postremoval complications: redness/warmth, tenderness/pain, edema/swelling.",RoB 2,Yes
9,Paladini A,2018,BMJ Paediatrics Open,Prospective controlled,Paediatric >10y ED (DIVA),Paediatric ED,Italy,20,20,40,Paediatric,Yes,YES (USG=long 8cm polyurethane LC vs blind=short <6cm Teflon SC),"9.2±6.0 days (LC)","3.2±2.1 days (SC)","Mean±SD days of catheter permanence",<0.0001,"","","","","","","","","","","","","0.4±0.5 (LC)","0.7±0.5 (SC)",0.003,"","","","1.2±0.3 (LC)","2.8±1.0 (SC)","<0.0001","","","","","","","MAJOR CONFOUNDING: USG=long polyurethane cannulas (8cm Seldinger) vs blind=short Teflon cannulas. Different catheter material and length. Episodes of dislocation/infiltration/occlusion/thrombosis: LC 0.3±0.4 vs SC 0.7±0.5 (p=0.003). Catheters changed during therapy: LC 1.2±0.3 vs SC 2.8±1.0. Two venous thromboses in LC group.",NOS,Yes
10,Saltarelli NA,2015,Ann Emerg Med (abstract),Retrospective cohort,Adult ED (DIVA) admitted,Academic tertiary ED,USA,885,1803,2688,Adult,Yes,No,"","","","","67/885 (7.6%) infiltration","107/1803 (5.9%) infiltration","OR 1.31 (0.92-1.88)","OR 1.31 (0.92-1.88)","0.92-1.88",0.137,"67/885 (7.6%)","107/1803 (5.9%)",0.137,"","","","","","","","","","","","","","","","","","","Conference abstract only. Null result. Logistic regression: no significant association between technique and infiltration. 12 infiltration events with unclear technique excluded.",NOS,Yes
