key,pmid,doi,first_author,year,title,journal,fulltext_obtained,ft_decision,ft_exclusion_reason,notes
rayyan-486160195,,10.1001/jamapediatrics.2024.5581,Kleidon TM,,First-Attempt Success in Ultrasound-Guided vs Standard Peripheral Intravenous Catheter Insertion: The EPIC Superiority Randomized Clinical Trial.,JAMA pediatrics,,,,
rayyan-486160202,,10.1177/11297298241282369,Refosco M,,"Comparison of peripheral cannula outcomes, ultrasound-guided placement of deep veins versus blind insertion of superficial veins in children aged 0-18 years: A retrospective study.",The journal of vascular access,,,,
rayyan-486160244,,10.2147/OAEM.S405692,Malik A,,Outcomes of Ultrasound Guided Peripheral Intravenous Catheters Placed in the Emergency Department and Factors Associated with Survival.,Open access emergency medicine : OAEM,,,,
rayyan-486160255,,10.1111/pan.14645,Dachepally R,,Assessing the utility of ultrasound-guided vascular access placement with longer catheters in critically ill pediatric patients.,Paediatric anaesthesia,,,,
rayyan-486160304,,10.1177/11297298211044363,Feinsmith SE,,Performance of peripheral catheters inserted with ultrasound guidance versus landmark technique after a simulation-based mastery learning intervention.,The journal of vascular access,,,,
rayyan-486160348,,10.1177/1129729820929826,Cottrell JT,,Ultrasound-guided placement of peripherally inserted intravenous catheters increase catheter dwell time in children.,The journal of vascular access,,,,
rayyan-486160384,,S0099-1767(18)30457-4 [pii] 10.1016/j.jen.2019.05.016,Favot M,,Contrast Extravasation as a Complication of Emergency Nurse-Performed Ultrasound-Guided Peripheral Intravenous Catheter Placement.,Journal of emergency nursing,,,,
rayyan-486160403,,S0196-0644(19)30105-2 [pii] 10.1016/j.annemergmed.2019.02.003,Shokoohi H,,The Utility and Survivorship of Peripheral Intravenous Catheters Inserted in the Emergency Department.,Annals of emergency medicine,,,,
rayyan-486160424,,10.1136/bmjopen-2017-020220 e020220,Bridey C,,Ultrasound-guided versus landmark approach for peripheral intravenous access by critical care nurses: a randomised controlled study.,BMJ open,,,,
rayyan-486160430,,10.1136/bmjpo-2017-000244 e000244,Paladini A,,Ultrasound-guided placement of long peripheral cannulas in children over the age of 10 years admitted to the emergency department: a pilot study.,BMJ paediatrics open,,,,
rayyan-486160522,,,Avelar AF,,[Assertiveness and peripheral intravenous catheters dwell time with ultrasonography-guided insertion in children and adolescents].,Revista da Escola de Enfermagem da U S P,,,,
rayyan-486160676,,10.70034/ijmedph.2025.4.336,"Varghese, S",,ULTRASOUND-GUIDED VS LANDMARK PERIPHERAL IV CANNULATION IN THE PEDIATRIC ED: a RANDOMIZED CONTROLLED TRIAL,International journal of medicine and public health,,,,
rayyan-486160677,,,,,Ultrasound-guided Peripheral IV vs. Standard Technique in Difficult Vascular Access Patients by ICU Nurses,https://clinicaltrials.gov/show/NCT03745209,,,,
rayyan-486160685,,,,,Effectiveness of Ultrasound-Guided Versus Traditional IV Insertion by Oncology Nurses in Adult Population Recieving Systemic Anti-cancer Therapy,https://clinicaltrials.gov/study/NCT07208175,,,,
rayyan-486160691,,10.1177/11297298241281189,"Kleidon, T",,EFFICACY OF PIVC INSERTION USING IMAGING TECHNOLOGY COMPARED TO COMBINED PALPATION AND VISUALIZATION. THE EPIC RANDOMISED CONTROLLED TRIAL,Journal of vascular access,,,,
rayyan-486160703,,10.5152/jern.2021.98965,"Sengul, T",,Effectiveness of Using Ultrasonography in Peripheral Intravenous Catheter Application,Journal of education &amp; research in nursing / hemsirelikte egitim ve arastirma dergisi,,,,
rayyan-486160912,,10.1016/j.jemermed.2023.02.011,Leroux S.,,The Impact of Peripheral Intravenous Catheter Insertion Technique and Catheter-to-Vein Ratio on Postinsertion Failure,Journal of Emergency Medicine,,,,
rayyan-486161209,,10.1016/j.java.2018.06.002,Desai K.,,Longevity and Complication Rates of Ultrasound Guided Versus Traditional Peripheral Intravenous Catheters in a Pediatric Emergency Department,JAVA - Journal of the Association for Vascular Access,,,,
rayyan-486161322,,,Saltarelli N.A.,,Infiltration rates are similar in ultrasound-guided and traditionally placed peripheral IVs inadmitted emergency department patients with difficult IV access,Annals of Emergency Medicine,,,,
rayyan-486161498,,10.2309/j.java.2020.002.001,Takuya Nishizawa,,Nurse-Performed Ultrasound-Guided Technique for Difficult Peripheral Intravenous Access in Critically Ill Patients: A Randomized Controlled Trial.,Journal of the Association for Vascular Access,,,,
