key,title,year,authors,reviewer1_decision,ai_decision,ai_reason,agreement
rayyan-486160195,First-Attempt Success in Ultrasound-Guided vs Standard Peripheral Intravenous Catheter Insertion: The EPIC Superiority Randomized Clinical Trial.,,Kleidon TM and Schults JA and Royle RH and Gibson V and Ware RS and Andresen E a,INCLUDE,EXCLUDE,No ultrasound guidance mentioned,DISAGREE
rayyan-486160202,"Comparison of peripheral cannula outcomes, ultrasound-guided placement of deep veins versus blind insertion of superficial veins in children aged 0-18",,Refosco M and Mazza A and Divisic A and Binotto D and Zamberlan S and Schiavon B,INCLUDE,EXCLUDE,No ultrasound guidance mentioned,DISAGREE
rayyan-486160227,Feasibility and efficacy of real-time ultrasound-guided venous closure with suture-mediated vascular closure device.,,Tachi M and Tanaka A and Teraoka T and Furuta T and Matsushita E and Hayashi K a,EXCLUDE,INCLUDE,USG vs landmark PIVC with post-insertion outcomes,DISAGREE
rayyan-486160240,Ultrasound-guided PIVC insertion: a randomised controlled trial protocol.,,Kleidon TM and Schults J and Rickard C and Ullman AJ,INCLUDE,EXCLUDE,Protocol without results,DISAGREE
rayyan-486160244,Outcomes of Ultrasound Guided Peripheral Intravenous Catheters Placed in the Emergency Department and Factors Associated with Survival.,,Malik A and Dewald O and Gallien J and Favot M and Kasten A and Reed B and Wells,INCLUDE,EXCLUDE,No ultrasound guidance mentioned,DISAGREE
rayyan-486160255,Assessing the utility of ultrasound-guided vascular access placement with longer catheters in critically ill pediatric patients.,,Dachepally R and Garcia AD and Liu W and Flechler C and Hanna WJ,INCLUDE,EXCLUDE,No ultrasound guidance mentioned,DISAGREE
rayyan-486160304,Performance of peripheral catheters inserted with ultrasound guidance versus landmark technique after a simulation-based mastery learning intervention,,Feinsmith SE and Amick AE and Feinglass JM and Sell J and Davis EM and Spencer T,INCLUDE,EXCLUDE,No ultrasound guidance mentioned,DISAGREE
rayyan-486160348,Ultrasound-guided placement of peripherally inserted intravenous catheters increase catheter dwell time in children.,,Cottrell JT and Chang T and Baird J and Barreras J and Elkhunovich MA,INCLUDE,EXCLUDE,No ultrasound guidance mentioned,DISAGREE
rayyan-486160369,Risk of contrast extravasation with vascular access in computed tomography.,,Stowell JR and Rigdon D and Colglazier R and Filler L and Orosco D and Connell M,EXCLUDE,INCLUDE,USG vs landmark PIVC with post-insertion outcomes,DISAGREE
rayyan-486160384,Contrast Extravasation as a Complication of Emergency Nurse-Performed Ultrasound-Guided Peripheral Intravenous Catheter Placement.,,Favot M and Gallien J and Malik A and Kasten A and Wells R and Ehrman R,INCLUDE,EXCLUDE,No ultrasound guidance mentioned,DISAGREE
rayyan-486160403,The Utility and Survivorship of Peripheral Intravenous Catheters Inserted in the Emergency Department.,,Shokoohi H and Boniface KS and Kulie P and Long A and McCarthy M,INCLUDE,EXCLUDE,No ultrasound guidance mentioned,DISAGREE
rayyan-486160424,Ultrasound-guided versus landmark approach for peripheral intravenous access by critical care nurses: a randomised controlled study.,,Bridey C and Thilly N and Lefevre T and Maire-Richard A and Morel M and Levy B a,INCLUDE,EXCLUDE,No ultrasound guidance mentioned,DISAGREE
rayyan-486160430,Ultrasound-guided placement of long peripheral cannulas in children over the age of 10 years admitted to the emergency department: a pilot study.,,Paladini A and Chiaretti A and Sellasie KW and Pittiruti M and Vento G,INCLUDE,EXCLUDE,No ultrasound guidance mentioned,DISAGREE
rayyan-486160453,Ultrasound-Guided Cannulation of the Brachiocephalic Vein in Infants and Children is Useful and Stable.,,Thompson ME,EXCLUDE,INCLUDE,USG vs landmark PIVC with post-insertion outcomes,DISAGREE
rayyan-486160604,Success of ultrasound-guided peripheral intravenous access with skin marking.,,Resnick JR and Cydulka RK and Donato J and Jones RA and Werner SL,EXCLUDE,MAYBE,USG vs landmark PIVC with post-insertion data but unclear study design,DISAGREE
rayyan-486160676,ULTRASOUND-GUIDED VS LANDMARK PERIPHERAL IV CANNULATION IN THE PEDIATRIC ED: a RANDOMIZED CONTROLLED TRIAL,,"Varghese, S and Ranjit, T",INCLUDE,EXCLUDE,No ultrasound guidance mentioned,DISAGREE
rayyan-486160677,Ultrasound-guided Peripheral IV vs. Standard Technique in Difficult Vascular Access Patients by ICU Nurses,,,EXCLUDE,INCLUDE,USG vs landmark PIVC with post-insertion outcomes,DISAGREE
rayyan-486160686,Feasibility of emergency department UltraSound-Guided peripheral intravenous catheter insertion training with Virtual Reality: a pilot Randomised Cont,,"ACTRN12625000442404,",EXCLUDE,INCLUDE,USG vs landmark PIVC with post-insertion outcomes,DISAGREE
rayyan-486160687,Nurse-led Placement of Peripheral Venous Catheters in Overweight Patients Using Standard or Dynamic Ultrasound-guided Technique,,,MAYBE,EXCLUDE,No ultrasound guidance mentioned,DISAGREE
rayyan-486160690,Comparison of Traditional and Ultrasound-Guided Techniques for Vascular Access in Patients With Difficult Venous Access in Emergency Department,,,MAYBE,EXCLUDE,No ultrasound guidance mentioned,DISAGREE
rayyan-486160691,EFFICACY OF PIVC INSERTION USING IMAGING TECHNOLOGY COMPARED TO COMBINED PALPATION AND VISUALIZATION. THE EPIC RANDOMISED CONTROLLED TRIAL,,"Kleidon, T and Schults, J and Rickard, C and Ullman, A",EXCLUDE,MAYBE,USG vs landmark PIVC with post-insertion data but unclear study design,DISAGREE
rayyan-486160695,Single Lumen Midline Catheter Vs Long Peripheral Intravenous Cather for Difficult Intravenous Access in the ED,,,EXCLUDE,INCLUDE,USG vs landmark PIVC with post-insertion outcomes,DISAGREE
rayyan-486160700,A randomised controlled trial of radial artery cannulation guided by Doppler vs. palpation vs. ultrasound,,"Ueda, K and Bayman, EO and Johnson, C and Odum, NJ and Lee, JJ",EXCLUDE,MAYBE,USG vs landmark PIVC comparison but unclear if post-insertion outcomes reported,DISAGREE
rayyan-486160706,Introducing a Vascular Access Specialist Model in the Emergency Department (VAS-ED),,"ACTRN12624001147572,",MAYBE,EXCLUDE,No ultrasound guidance mentioned,DISAGREE
rayyan-486160802,RETROSPECTIVE ANALYSIS OF A TUNNELED CUFFED CATHETER INSERTION PROGRAM INITIATED BY A NEPHROLOGIST,,Chandrasekaran S.P. and Aleya A. and Vinod Kumar K. and Vellakampadi D. and Goku,EXCLUDE,MAYBE,USG vs landmark PIVC comparison but unclear if post-insertion outcomes reported,DISAGREE
rayyan-486160827,Central Venous Catheter vs Midline in Difficulty Access Patient - A Randomized Controlled Clinical Pilot Trial - Pilot-ACCESS-D,,,EXCLUDE,INCLUDE,USG vs landmark PIVC with post-insertion outcomes,DISAGREE
rayyan-486160830,"Artificial Intelligence, Ultrasound, and the Future of Peripheral Intravenous Catheter Care",,Johnson S. and Wiepking M. and Bahl A.,EXCLUDE,INCLUDE,USG vs landmark PIVC with post-insertion outcomes,DISAGREE
rayyan-486160831,"Superior Ultrasound-Guided Venous Access: Single-Lumen Midline Catheters Vs Long Peripheral IVs for Difficult IV Access in the Emergency Department, a",,,EXCLUDE,INCLUDE,USG vs landmark PIVC with post-insertion outcomes,DISAGREE
rayyan-486160874,A retrospective look at peripheral intravenous catheter (PIVC) Dwell Times in Pediatric Population,,Wiseman K.M. and Berbert L. and Degrazia M. and Pilcher J. and Forbes P.W. and R,EXCLUDE,INCLUDE,USG vs landmark PIVC with post-insertion outcomes,DISAGREE
rayyan-486160883,Short peripheral intravenous cannula and straight-tip guide wire in ultrasound-guided neonatal central venous catheterization,,Jia H. and Zhang K. and Han J. and Liu Q. and Chen P. and Wang Y. and Huang S.,EXCLUDE,MAYBE,USG vs landmark PIVC comparison but unclear if post-insertion outcomes reported,DISAGREE
rayyan-486160923,PILOT STUDY OF PERIPHERAL INTERNAL JUGULAR CATHETERS TO AVOID CVAD,,Dancel R. and Heath J. and Stephens J. and Finn E.,EXCLUDE,MAYBE,USG vs landmark PIVC with post-insertion data but unclear study design,DISAGREE
rayyan-486160983,USG Guided Deep Peripheral Venous Access Using Long Peripheral Catheter in Critically Ill Patients with Difficult Intravenous Access,,Soren D. and Khan M.S. and Prakash J. and Kumar S. and Bhattacharya P.K. and Kum,EXCLUDE,INCLUDE,USG vs landmark PIVC with post-insertion outcomes,DISAGREE
rayyan-486160994,Effect of Ultrasound-guided Insertion of Peripheral Catheters in the Forearm in Complications Incidence.,,,MAYBE,EXCLUDE,No ultrasound guidance mentioned,DISAGREE
rayyan-486161209,Longevity and Complication Rates of Ultrasound Guided Versus Traditional Peripheral Intravenous Catheters in a Pediatric Emergency Department,,Desai K. and Vinograd A.M. and Abbadessa M.K.F. and Chen A.E.,INCLUDE,EXCLUDE,No ultrasound guidance mentioned,DISAGREE
rayyan-486161221,Does the real-time ultrasound guidance provide safer venipuncture in implantable venous port implantation?,,Yıldırım İ. and Tütüncü A.Ç. and Bademler S. and Özgür İ. and Demiray M. and Kar,EXCLUDE,MAYBE,USG vs landmark PIVC comparison but unclear if post-insertion outcomes reported,DISAGREE
rayyan-486161261,Intraoperative Vascular Access for Liver Transplantation in a Patient with SVC Thrombosis,,Downey P. and Chadha R. and Sobol J.,EXCLUDE,MAYBE,USG vs landmark PIVC with post-insertion data but unclear study design,DISAGREE
rayyan-486161322,Infiltration rates are similar in ultrasound-guided and traditionally placed peripheral IVs inadmitted emergency department patients with difficult IV,,Saltarelli N.A. and VanHouten J. and Boyd J. and Rupp J. and Ferre R.M.,INCLUDE,EXCLUDE,No ultrasound guidance mentioned,DISAGREE
rayyan-486161353,Contribution of Ultrasound for Peripheral Intravenous Catheter Placement by Intensive Care Nurses,,,EXCLUDE,MAYBE,USG vs landmark PIVC comparison but unclear if post-insertion outcomes reported,DISAGREE
rayyan-486161454,"Vascular Ultrasound During the Use of Peripheral Intravenous Catheters in Children: A Clinical, Randomized and Controlled Trial.",,,EXCLUDE,MAYBE,USG vs landmark PIVC with post-insertion data but unclear study design,DISAGREE
rayyan-486161498,Nurse-Performed Ultrasound-Guided Technique for Difficult Peripheral Intravenous Access in Critically Ill Patients: A Randomized Controlled Trial.,,Takuya Nishizawa and Takashi Matsumoto and Takafumi Todaka and Mikio Sasano and ,INCLUDE,EXCLUDE,No ultrasound guidance mentioned,DISAGREE
